周边交通,商业用房平均价,开盘时间,容积率,座落,车位,设备装修,绿化率,楼盘简介,总幢数,开发商,住宅平均价,土地等级,项目名称,入住时间,联系电话,配套设施
,4500.0,2005-01-06 00:00:00.0,,东陵区东陵路54号,,,,,2600.0,沈阳京城房地产开发有限公司,东城花园,,9,2005-07-31 00:00:00.0,88426666,
,,2005-01-28 00:00:00.0,,铁西区保工北街（黎明.西部风情）,,,,,3200.0,沈阳振浩黎明房地产开发(集团)有限公司,黎明.西部风情,0,16,2005-11-15 00:00:00.0,24860021,
,3500.0,2005-03-10 00:00:00.0,,大东区劳动路南侧,,,,,2300.0,沈阳市恒达房屋开发有限公司,民生家园,,5,2005-10-30 00:00:00.0,88265555,
,7000.0,2005-04-01 00:00:00.0,,沈阳市和平区砂阳路158号,,,,,3500.0,沈阳润通房屋开发有限公司,丰泽花园,0,2,2005-12-09 00:00:00.0,23301111,
,,2005-06-04 00:00:00.0,,沈阳市大东区北海街东,,,,,3550.0,沈阳万恒鸿基房地产开发有限公司,东方俪城二期,,25,2006-04-01 00:00:00.0,"31408665,81884456",
,4800.0,2004-05-13 00:00:00.0,,贵和街,,,,,3100.0,沈阳丰华房屋开发有限公司,鑫丰金园,,15,2005-06-01 00:00:00.0,23314387,
,5800.0,2004-05-14 00:00:00.0,,铁西区霁虹街14号,,,,,3200.0,辽宁建威房地产开发有限公司,晋斯佳苑,,12,2004-12-31 00:00:00.0,25605555，25615555,
,4300.0,2004-05-20 00:00:00.0,,铁西区兴华水街27号,,,,,2700.0,辽宁山丰房屋开发有限责任公司,御览嘉园,,,2005-12-31 00:00:00.0,,
,5800.0,2004-06-01 00:00:00.0,,铁西区保工南街137号,,,,,3200.0,沈阳天意房屋开发有限公司,E佰家园,,4,2005-10-30 00:00:00.0,25610466,
,,2004-08-20 00:00:00.0,,皇姑区西江街西侧,,,,,,沈阳新港澳房产开发有限公司,风华时代,,13,2005-12-31 00:00:00.0,86730088,
,6600.0,2004-08-28 00:00:00.0,,铁西区勋望街,,,,,3400.0,辽宁中鸿基房地产开发有限责任公司,兴华综合市场,,3,2005-10-31 00:00:00.0,81820817,
,6500.0,2004-08-30 00:00:00.0,,皇姑区华山路93号,,,,,3300.0,沈阳华隆基房屋开发有限公司,汇宝国际花园,,30,2005-06-30 00:00:00.0,,
,,2004-09-01 00:00:00.0,,浑南新区C25-1号地块,,,,,3000.0,中房集团辽宁置业有限公司,中房金河花园,,23,2007-06-30 00:00:00.0,23678899,
,,2004-09-01 00:00:00.0,,于洪区怒江北街,,,,,3000.0,辽宁红田房屋开发有限公司,红田美林居,,4,2004-12-31 00:00:00.0,"86169900,86177766",
,,2004-09-01 00:00:00.0,,铁西区沈辽中路5号,,,,,3200.0,沈阳市达诚房产开发有限责任公司,昊辰苑（秀水靓园二期）,,,2005-09-30 00:00:00.0,,
,7000.0,2004-09-10 00:00:00.0,,保工北街32号,,,,,3000.0,辽宁昱和房地产开发有限责任公司,富云新都,,29,2005-10-01 00:00:00.0,25626666,
,4200.0,2004-09-10 00:00:00.0,,北大营西路6号,,,,,2680.0,沈阳天庆房屋开发有限公司,筑景东方,,17,2005-06-30 00:00:00.0,88313333,
,,2004-09-12 00:00:00.0,,沈阳市大东区北海街东,,,,,3400.0,沈阳万恒鸿基房地产开发有限公司,东方俪城,,10,2005-07-01 00:00:00.0,"31991117,31991118,31991119",
,8000.0,2004-09-16 00:00:00.0,,奉天街,,,,,5700.0,沈阳格林福瑞房地产开发有限公司,格林自由城,,2,2005-12-31 00:00:00.0,"22731118,22741118",
,7180.0,2004-09-18 00:00:00.0,,大东区联合路南,,,,,3450.0,沈阳三达房产开发有限公司,文华园,,2,2006-10-15 00:00:00.0,88130173,
,,2004-09-16 00:00:00.0,,东陵区方家栏,,,,,,沈阳佳和房地产开发有限公司,佳和新城,,19,2007-10-31 00:00:00.0,24261111/24262222,
,,2004-09-26 00:00:00.0,,东陵区高坎镇七间房村,,,,,3900.0,沈阳奥林匹克置业投资有限公司,沈阳奥林匹克花园二期,,40,2007-06-30 00:00:00.0,22725888、22729888,
,2800.0,2004-10-01 00:00:00.0,,东陵区桃仙大街7街,,,,,1880.0,沈阳市绿色家园房地产开发有限公司,绿色家园,,16,2005-10-31 00:00:00.0,"23321111,23328888",
,,2004-10-11 00:00:00.0,,于洪区陵园街东,,,,,,沈阳方迪房地产发展有限公司,方迪东阁,,4,2005-12-31 00:00:00.0,,
,4500.0,2004-11-04 00:00:00.0,,苏家屯区海棠街101号,,,,,1900.0,沈阳市苏家屯区房屋土地开发有限公司,海棠花园二期,,21,2008-01-31 00:00:00.0,89815542,
,5000.0,2004-10-16 00:00:00.0,,东陵区方青路30号,,,,,2950.0,沈阳东实房地产开发有限公司,青阳四季园,,34,2005-09-30 00:00:00.0,24246666,
,7500.0,2005-04-16 00:00:00.0,,和平区文体路北侧,,,,,5800.0,沈阳中雁房产投资发展有限公司,（一期）商务办公楼、酒店式公寓、教学用房等,,7,2005-12-31 00:00:00.0,,
,,2005-04-10 00:00:00.0,,沈阳市沈河区朝阳街6号,,,,,5400.0,沈阳豫园房地产开发有限公司,1世界,,1,2005-08-31 00:00:00.0,24855888,
,5000.0,2005-04-18 00:00:00.0,,铁西区北二东路27号,,,,,2800.0,辽宁山丰房屋开发有限责任公司,云峰嘉园,,8,2006-09-30 00:00:00.0,,
,5000.0,2005-05-01 00:00:00.0,,和平区南三马路69号,,,,,4500.0,辽宁信达房地产开发公司,办公用房、住宅,,2,2005-12-31 00:00:00.0,23262222,
,5000.0,2005-05-01 00:00:00.0,,皇姑区闽江街西北、华山路南,,,,,3000.0,沈阳安特来房地产有限公司,金港天府,,4,2006-12-31 00:00:00.0,86413409,
,4000.0,2005-05-01 00:00:00.0,,苏家屯区沙柳路北,,,,,2450.0,辽宁德隆房屋开发有限公司,河畔花城,,56,2006-12-31 00:00:00.0,89838888,
,,1990-01-01 00:00:00.0,,大东区机校街西侧,,,,,,沈阳瑰玮房地产开发有限公司,机校街,,,2005-07-01 00:00:00.0,,
,,1990-01-01 00:00:00.0,,铁西区保工北街16号,,,,,,沈阳铭尊置业有限公司,富海铭尊,,24,,,
,3200.0,2005-06-12 00:00:00.0,,于洪新城76号地块,,,,,2000.0,沈阳鹏盛房地产开发有限公司,鹏程花园若水居,,6,2005-10-31 00:00:00.0,62245666,
,,2005-06-15 00:00:00.0,,新城子区中央路南,,,,,,沈阳市新城房地产开发有限公司,云峰小区,,4,2005-11-30 00:00:00.0,89864180,
,,1990-01-01 00:00:00.0,,金融商贸开发区B-7地块,,,,,,辽宁光达房地产开发有限公司,光达大厦,,,2005-12-31 00:00:00.0,,
,,1990-01-01 00:00:00.0,,兴虎街东侧,,,,,,沈阳建勋房地产开发有限责任公司,金盛苑小区,,,,,
,5500.0,1990-01-01 00:00:00.0,,大东区南卡门东路南侧,,,,,3300.0,沈阳市房地产开发建设有限公司,开建.康都,,2,2005-12-31 00:00:00.0,88320088/88321188,
,,1990-01-01 00:00:00.0,,大东区凯翔一街37号,,,,,,沈阳世鸿房地产开发有限公司,凯翔新新家园,,,,,
,4250.0,2005-06-20 00:00:00.0,,苏家屯区白松路南侧,,,,,2808.0,沈阳市振达房地产开发有限公司,振达家园,,3,2005-08-30 00:00:00.0,89822012,
,5800.0,2004-11-08 00:00:00.0,,经济技术开发区花海路商贸市场18号,,,,,,沈阳泰丰房地产开发有限公司,东北机电五金城一期,,10,2006-07-10 00:00:00.0,25911461,
,,2005-05-01 00:00:00.0,,于洪区怒江北街39号,,,,,2850.0,沈阳加州阳光花园房屋开发有限公司,加州花园小区二期,,27,2007-12-30 00:00:00.0,86100888,
,5800.0,2005-05-16 00:00:00.0,,铁西区北一东路81号,,,,,3100.0,沈阳南风房地产有限公司,南风.汇景阁,,4,2005-12-30 00:00:00.0,25609999,
,3500.0,2005-05-17 00:00:00.0,,于洪区沈新路18号,,,,,2430.0,沈阳盛泰房地产开发有限公司,沈新园三期,,17,2006-12-30 00:00:00.0,62241111,
,,2005-05-21 00:00:00.0,,大东区东二环南侧,,,,,,沈阳永嘉特置业有限公司,林韵春天,,,2005-10-30 00:00:00.0,88207777、88201111,
,6000.0,2005-05-22 00:00:00.0,,金融商贸开发区C-9,,,,,4800.0,沈阳金利房产发展有限公司,金利大厦,,,2006-10-30 00:00:00.0,86250036,
,,1990-01-01 00:00:00.0,,冯道社区,,,,,,沈阳圣华天房地产开发有限公司,泉涌新镇,,,2005-10-31 00:00:00.0,,
,4600.0,2005-05-27 00:00:00.0,,和平区南二马路,,,,,,辽宁北信房地产开发有限公司,商业综合楼,,2,2006-06-30 00:00:00.0,23503333,
,4500.0,2005-06-01 00:00:00.0,,于洪区北陵乡下坎子村,,,,,2300.0,沈阳加州阳光花园房屋开发有限公司,商住楼,,2,2006-03-01 00:00:00.0,82083120,
,5500.0,2005-06-01 00:00:00.0,,铁西区腾飞二街24号,,,,,2800.0,沈阳金席房屋开发有限公司,金都花园二期,,1,2005-11-30 00:00:00.0,25938588,
,,2005-06-22 00:00:00.0,,东陵区满堂乡上木村,,,,,4300.0,辽宁鸿基房地产开发有限公司,阳光假日山庄,,4,2006-06-22 00:00:00.0,,
,4000.0,2005-07-01 00:00:00.0,,道义镇101国道西平望公路南北,,,,,1700.0,沈阳三得房地产开发有限公司,百乐小区,,9,2006-07-01 00:00:00.0,89732222,
,7000.0,2005-07-01 00:00:00.0,,铁西区南六西路2号,,,,,3200.0,辽宁万聚隆房地产有限责任公司,农贸市场,,4,2005-09-01 00:00:00.0,25729999,
,4500.0,1990-01-01 00:00:00.0,,大东区南卡门东路北侧,,,,,2800.0,辽宁华诚房地产开发有限公司,华诚.阳光,,6,2006-04-10 00:00:00.0,88315999,
,8800.0,2005-07-01 00:00:00.0,,大东区八王寺街,,,,,4100.0,沈阳国瑞嘉合房屋开发有限公司,枫合万嘉,,6,2006-06-30 00:00:00.0,88728888,
,4500.0,2005-07-09 00:00:00.0,,大东区东北大马路南侧,,,,,3000.0,沈阳新华恒业置业有限责任公司,恒业宝盛园,,3,2005-11-01 00:00:00.0,"88210333,88210555",
,,2005-07-15 00:00:00.0,,于洪区黄河北大街96号,,,,,3050.0,辽宁筑成地产发展有限公司,国奥现代城三期,,19,2007-10-31 00:00:00.0,86552222,
,,2005-07-17 00:00:00.0,,大东区沈铁路西侧,,,,,,沈阳祥桦房地产开发有限公司,新华壹品二期,0,21,2005-10-30 00:00:00.0,13840487752,
,4000.0,2005-07-18 00:00:00.0,,沈阳市铁西区景星南街104-1号,,,,,2900.0,沈阳七方房产开发有限公司,七方紫东苑,,1,2005-12-31 00:00:00.0,25422888,
,7200.0,2005-07-23 00:00:00.0,,于洪区柳条湖街西侧,,,,,3800.0,沈阳中远颐和房地产开发有限公司,中远.颐和丽园,,6,2007-06-30 00:00:00.0,86618888,
,,2005-07-23 00:00:00.0,,浑南产业区60、61、62地块,,,,,,沈阳亿达房地产有限公司,唯美品格三期,,8,2006-06-30 00:00:00.0,23180011,
,,1990-01-01 00:00:00.0,,皇姑区宁山西路22号,,,,,,沈阳百田房产开发有限公司,和太园,,1,2005-12-31 00:00:00.0,,
,,2005-07-29 00:00:00.0,,苏家屯区枫杨路北,,,,,2150.0,沈阳凯厦房地产开发有限责任公司,凯厦佳园,,9,2006-11-30 00:00:00.0,89112919,
,4000.0,2005-08-01 00:00:00.0,,皇姑区陵北街东侧,,,,,2450.0,沈阳市宏建房屋开发有限公司,顺风馨苑,,5,2006-10-30 00:00:00.0,,
,6000.0,2005-08-01 00:00:00.0,,铁西区北三东路6号,,,,,3400.0,沈阳赛斯房地产有限公司,赛斯家园,,6,2005-12-31 00:00:00.0,25658333,
,5600.0,2005-08-01 00:00:00.0,,铁西区腾飞二街16号,,,,,3400.0,辽宁宝立房产开发有限责任公司,云华园,,11,2005-12-31 00:00:00.0,25966111,
,,2005-08-02 00:00:00.0,,东陵区长青街149号,,,,,3150.0,沈阳运恒房产开发有限公司,和泰.东方园二期,,4,2005-06-30 00:00:00.0,,
,3500.0,1990-01-01 00:00:00.0,,东陵区白塔镇塔北村,,,,,2000.0,沈阳天大房屋开发有限公司,阳光新嘉园,,7,2006-12-31 00:00:00.0,23784375,
,5000.0,1990-01-01 00:00:00.0,,沈河区市府大路290号,,,,,4400.0,辽宁昊宇房地产开发有限公司,摩根凯利大厦,,2,2006-12-01 00:00:00.0,22743333,
,,2006-06-23 00:00:00.0,,经济技术开发区八号街3甲1号,,,,,,沈阳重型华扬机械有限公司,综合楼、装配厂房,0,2,,13889879090,
,,2006-06-25 00:00:00.0,,经济技术开发区七号街21号,,,,,,沈阳巨臣房屋开发有限公司,友谊城三期A区,0,16,2007-11-30 00:00:00.0,13998305458  62362827,
,,2006-06-27 15:03:30.0,,和平区泰兴街4号,,,,,,自建自用房,军队离退休老干部住宅,0,2,,13609832399/22829394,
,5200.0,2006-06-27 00:00:00.0,,新城子区道义开发区京沈街51号,,,,,2100.0,沈阳瀚博房地产开发有限公司,黄金地带,,1,2006-10-15 00:00:00.0,89738188、89738177,
,6000.0,2006-07-01 00:00:00.0,,铁西区北三东路17号、19号,,,,,3800.0,沈阳品格房地产开发有限公司,君临天下二期,0,12,2007-05-01 00:00:00.0,25137777,
,,2006-07-01 00:00:00.0,,苏家屯区大盛路北,,,,,1628.0,辽宁益民房地产开发有限公司,住宅楼,0,1,2006-09-01 00:00:00.0,13504000521,
,5500.0,2006-07-02 00:00:00.0,,浑南新区C20号-2地块,,,,,4000.0,辽宁融泰房地产开发有限责任公司,融城时代二期A组住宅,,6,2007-12-31 00:00:00.0,62330666,
,4300.0,2006-07-02 00:00:00.0,,于洪区大潘镇沈辽公路北侧,,,,,1800.0,沈阳鸿基伟业房地产开发有限公司,住宅,,7,2006-07-05 00:00:00.0,89893737,
,,2006-07-02 00:00:00.0,,金融商贸开发区2003-059号地块,,,,,4800.0,沈阳华锐世纪投资发展有限公司,东北金融广场一期,,5,2007-09-30 00:00:00.0,22518006,
,,1990-01-01 00:00:00.0,,于洪区黄海路85号,,,,,,沈阳市和兴房地产开发有限公司,玉带明苑,,,,,
,,2006-07-04 00:00:00.0,,东陵区东陵路123号,,,,,,沈阳万科新墅置业有限公司,万科兰乔圣菲（一期）,0,35,2007-09-30 00:00:00.0,88683355/3366,
,,2006-07-04 00:00:00.0,,经济技术开发区沧海路1号,,,,,,沈阳远大压缩机制造有限公司,生产厂房扩建、厂房,0,1,,13609827900,
,,2006-07-04 00:00:00.0,,东陵区第三粮库东侧,,,,,,沈阳保利溪岸房地产开发有限公司,沈阳保利海棠花园二期(一组团),0,11,2007-06-30 00:00:00.0,88738888、88736666,
,,1990-01-01 00:00:00.0,,辉山农业高新区冯道社区,,,,,1650.0,辽宁泽龙房地产开发有限公司,二期工程,,4,2006-09-30 00:00:00.0,62623333,
,,2006-07-06 00:00:00.0,,东陵区文萃路185号,,,,,2750.0,沈阳市新家庭房地产开发有限公司,居住,,6,2007-12-31 00:00:00.0,31302385,
,5000.0,2006-07-07 00:00:00.0,,"沈阳市皇姑区西江街,太白山路南(部分用地)",,,,,3200.0,沈阳世豪房地产开发有限公司,住宅,0,2,2006-12-31 00:00:00.0,,
,,2006-07-07 14:06:00.0,,经济技术开发区7号街10甲3号,,,,,,沈阳艾斯德电气系统有限公司,生产厂房、综合楼、泵房、门卫室,0,4,,25366566 13909832641,
,,2006-07-07 00:00:00.0,,大东区东站街沈铁路51号,,,,,3500.0,沈阳华宇天成房地产开发有限公司,居住、商业（东方玫瑰园）,0,29,2007-08-30 00:00:00.0,88905555,
,,2006-07-10 13:29:41.0,,浑南新区产业区西区79号-5地块,,,,,,沈阳北碳密封有限公司,厂房、综合楼,0,4,,13940261060,
,,2006-07-11 14:32:25.0,,于洪区黄河北大街96号,,,,,,辽宁筑成地产发展有限公司,国奥现代城三期-2-2,0,2,,13019361321,
,,2006-07-11 09:46:33.0,,大东区东贸路20号,,,,,,沈阳储运集团物流配送有限公司,厂房、车库,0,2,,13019345429,
,5000.0,2006-07-11 00:00:00.0,,铁西区腾飞二街53号,,,,,,沈阳市城建房地产开发集团有限公司,城建滑翔七小区,0,8,2006-11-30 00:00:00.0,25891057、25903338,
,6300.0,1990-01-01 00:00:00.0,,大东区沈铁路西侧（5#地块）,,,,,3600.0,沈阳祥桦房地产开发有限公司,居住、商业,,24,2007-05-01 00:00:00.0,88312200,
,,2006-07-12 00:00:00.0,,沈阳市大东区北海街东、东北大马路北（部分用地）,,,,,3900.0,沈阳万恒鸿基房地产开发有限公司,住宅、商业,0,25,2007-09-30 00:00:00.0,31991117/8/9,
,,2007-02-05 09:02:54.0,,道义开发区京沈街11号,,,,,,沈阳金科精密仪器设备有限公司,综合楼,0,1,,,
,,2007-02-05 00:00:00.0,,蒲河新城虎石台镇兴虎街,,,,,2450.0,沈阳鸿海房地产开发有限公司,富城时代26#住宅楼,0,1,2007-03-05 00:00:00.0,,
,,2007-02-06 09:11:15.0,,东陵区世博东街55号,,,,,,辽宁日新实业集团有限公司 ,沈阳海洋科普馆,0,1,,,
,,2007-02-06 15:55:39.0,,沈阳辉山农业高新技术开发区竟业街12号,,,,,,沈阳圣金锣食品有限公司,1#、2#库房,0,2,,,
,,2007-02-07 14:59:10.0,,,,,,,,中国电子物资东北公司,综合商贸楼,0,1,,,
,6700.0,2007-02-08 00:00:00.0,,和平区南七马路北侧,,,,,3800.0,沈阳汇友实业发展有限公司,昆明雅居,0,2,2007-03-31 00:00:00.0,,
,,2007-02-08 14:55:21.0,,沈阳市经济技术开发区七号路16甲2号,,,,,,沈阳市空气压缩机,综合办公楼，机加车间库房，环保车间，装配及螺杆车间，变电所，门卫室，库房,0,7,,,
,,2007-02-08 10:21:01.0,,沈阳市皇姑区基山路29号,,,,,,沈阳洪业房地产开发有限公司,塔湾馨逸家园,0,2,2007-07-31 00:00:00.0,,
,,2007-02-09 14:08:30.0,,沈阳市浑南产业西区01号地块,,,,,,昶虹电子（沈阳）有限公司,昶虹电子（沈阳）有限公司,0,3,,,
,,2007-02-09 10:00:02.0,,于洪区沙岭街道东北家具集散中心白沙街1号,,,,,,沈阳光伸置业有限公司,沈阳光伸家具五金配件加工仓储中心一期,0,,2006-08-31 00:00:00.0,,
,,2007-02-09 08:21:12.0,,苏家屯区王纲乡新开河村,,,,,,香运来（沈阳）防护材料有限公司,新建厂房,0,5,,,
,,2007-02-12 16:33:53.0,,浑南产业区西区01号-3地块,,,,,,辽宁天择科技实业发展有限公司,厂房,0,2,,,
,,2007-02-13 13:25:51.0,,开发区开发北二十七号路15号,,,,,,自建自用房,厂房一二三，办公楼，收发室及水泵房,0,4,,,
,,2007-02-13 14:26:58.0,,沈阳市铁西区兴华南街号,,,,,,大连大商集团沈阳房地产开发有限公司,沈阳铁西新玛特购物休闲广场,0,1,2008-01-30 00:00:00.0,,
,,2007-02-13 11:06:53.0,,苏家屯区玫瑰街140号甲,,,,,,沈阳市天盛源门业加工业,厂房、办公楼,0,2,,,
,,2007-02-13 09:20:22.0,,沈河区文化路72号,,,,,,中国科学院金属研究所,中国科学院金属研究所,0,3,,,
,,2007-02-14 10:30:47.0,,沈阳市铁西区建设中路46号,,,,,,沈阳希尔斯池典商务休闲有限公司,碧水闲鸥商务酒店,0,1,,,
,,2007-02-16 13:51:54.0,,沈阳市铁西区建设东路7甲,,,,,,沈阳铁兴房屋开发有限责任公司,铁西四条半线住宅,0,9,,,
,,2007-02-18 00:00:00.0,,沈阳市于洪区鸭绿江街西,,,,,,沈阳市陵东房屋开发有限公司,居住小区二期工程（富丽阳光）,0,26,2008-03-01 00:00:00.0,86682222,
,,2007-02-27 14:54:15.0,,沈阳经济技术开发区昆明湖街12号,,,,,,沈阳凿岩机械股份有限公司,综合办公楼，合资公司联合厂房，独资公司联合厂房，综合站房及库房，收发室，食堂,0,6,,,
,,2007-02-28 09:14:17.0,,浑南新区中心区D19号地块,,,,,,沈阳清华同方信息港有限公司,办公楼，写字楼，公寓式酒店，住宅,0,10,2007-08-31 00:00:00.0,,
,,2007-02-28 15:04:57.0,,沈阳农业高新区佳阳路二号,,,,,,沈阳闽南实业有限公司,厂房，车间，办公楼，档口,0,39,,,
,,2007-02-28 12:43:09.0,,沈阳市苏家屯区潜霄街99-1号,,,,,,沈阳市博业有色金属制品厂,厂房、综合办公楼,0,2,,,
,,2008-03-06 12:05:06.0,,皇姑区北四台子村,,,,,,沈阳金辉房地产开发有限公司,居住、商业（一期）,0,31,2008-12-31 00:00:00.0,,
,,2008-03-06 12:46:25.0,,于洪新城内14#部分地块,,,,,,沈阳永盛房屋开发有限公司,住宅、公建（水调歌城14#地块一期）,0,27,2009-06-30 00:00:00.0,,
,,2008-03-06 12:37:30.0,,元科村,,,,,,沈阳盛杰蜡业有限公司,办公楼、厂房、仓库,0,3,,,
